,"HACE","2000E","INTRO FAM CON SCI",,"12734","PHILLIPS",,5,0,,,
,"SPED","2000E","SURVEY SPECIAL EDUC",,"54028","RAMSEY",,30,31,,,
,"ECON","2100","ECON OF ENV QUALITY",,"61526","WOLK",,20,6,,,
,"HACE","2100","FAM EC ISS TR LF CO",,"32735","CALHOUN",,25,6,,,
,"FINA","3000","FINANCIAL MGMT",,"01523","FORTUNA",,20,8,,,
,"MGMT","3000","PRINCIPLES OF MGMT",,"11529","BRAMORSKI",,20,4,,,
,"MARK","3000","PRIN OF MKT",,"01528","BRAMORSKI",,20,7,,,
,"MSIT","3000","STAT ANA FOR BUS I",,"21541","FORTUNA",,20,8,,,
,"HACE","3010","DIR STDY IN HCE",,"74337","Multiple",,25,1,,,
,"SPED","3030","ASSMT INDIV DISAB",,"31080","LINSCOTT",,15,3,,,
,"SPED","3030E","ASSMT INDIV DISAB",,"15889","LINSCOTT",,25,29,,,
,"CRSS","3060","SOILS AND HYDROLOGY",,"23679","HABTESELASSI",,10,2,,,
,"CRSS","3060L","SOILS HYDROL LAB",,"43683","HABTESELASSI",,10,2,,,
,"HACE","3100","INTRO CONS ECON",,"52736","MORGAN",,25,13,,,
,"BIOL","3100","INTRODUCT BIOCHEM",,"25321","PAZ",,20,6,,,
,"BIOL","3110L","BASIC LAB SKILLS",,"45322","PAZ",,12,8,,,
,"HACE","3150","CONS DECISION MAKIN",,"72737","ZAHIROVIC-HE",,25,7,,,
,"SOCI","3150","PUNISHMENT & SOC",,"23760","WATTS-WARREN",,20,1,,,
,"GENE","3200","GENETICS",,"65323","Multiple",,20,10,,,
,"PSYC","3300","SOC/PERSON DEVLOPMT",,"21569","BUFFINGTON",,20,3,,,
,"PSYC","3300","SOC/PERSON DEVLOPMT",,"43761","BUFFINGTON",,20,2,,,
,"PSYC","3980","RESEARCH DESIGN",,"05325","BUFFINGTON",,20,1,,,
,"ENTO","4000","GENERAL ENT",,"72815","Multiple",,15,4,,,
,"MGMT","4000","OPERATIONS MGT",,"81530","BRAMORSKI",,20,6,,,
,"RMIN","4000","RISK MAN/INSURANCE",,"01531","KNIGHT",,20,9,,,
,"SPED","4000E","DIR STU IN SPEC EDU",,"34321","RAMSEY",,25,12,,,
,"ENTO","4000L","GENERAL ENT LAB",,"92816","Multiple",,15,4,,,
,"MIBO","4090","PROKARYOTIC BIO",,"50688","Multiple",,20,1,,,
,"AESC","4190","AGRICULTURAL ETHICS",,"94520","GARDNER",,20,5,,,
,"HACE","4200","FAMILY SAV & INVEST",,"92738","ANONG",,25,3,,,
,"HACE","4210","FAM RET PLAN BEN",,"02739","ANONG",,25,3,,,
,"LEGL","4300","BUS ORGANIZATIONS",,"11532","MCCALLUM",,20,6,,,
,"FINA","4310","SURVEY OF INVESTMT",,"81527","WOLK",,20,6,,,
,"CRSS","4430","PLANT PHYSIOLOGY",,"66709","LINDSTROM",,0,0,,,
,"HORT","4430","PLANT PHYSIOLOGY",,"64488","LINDSTROM",,20,3,,,
,"SPED","4440","PRAC IN SPEC ED",,"01084","LINSCOTT",,10,7,,,
,"SPED","4440","PRAC IN SPEC ED",,"71082","LINSCOTT",,10,6,,,
